omeg,gam,ras,alpl,kT
11.81052399,0.3346216,32.30588915,0.955565743,0.03790779
12.57258637,0.175153638,14.84366673,0.991908164,0.040180296
16.35882724,0.156279273,30.02737924,0.992358394,0.053977311
15.10453295,0.241463802,53.2295905,0.467180964,0.04979804
13.88182524,0.075525432,13.07027789,0.090605825,0.068794556
10.06535357,0.148017517,19.496589,0.999774745,0.046237259
18.86760468,0.167345325,52.81707145,0.924209118,0.073861126
14.51838831,0.099656451,24.54957473,0.413421325,0.046891199
14.8843781,0.310246673,14.45751486,0.84645748,0.049358318
14.71727273,0.118407995,18.68425147,0.425435802,0.037341052
10.51425407,0.318224317,46.17632041,0.586602793,0.033773956
12.67119091,0.206411737,46.15016464,0.998604178,0.033414211
14.43612529,0.144151504,30.2449954,0.757165855,0.070211235
18.06852754,0.091009513,10.87964828,0.997796568,0.063791142
15.11796404,0.019088463,27.07651324,0.301206105,0.069157413
13.26553504,0.128742051,56.25224415,0.597976759,0.050115097
13.52319894,0.296793595,58.6081001,0.818952184,0.075846035
12.85299311,0.168424394,16.44743827,0.34048398,0.067570999
14.2203006,0.297530893,29.64618918,0.999065362,0.040904333
13.07336423,0.140673478,11.30193895,0.804253144,0.068555845
14.2142971,0.120914509,42.59846723,0.964611822,0.040228438
17.76139898,0.230266802,50.3068693,0.312328647,0.03407273
19.1451634,0.174442811,31.53708871,0.097699574,0.030599531
12.49124774,0.218036325,46.15365681,0.001197034,0.058489356
13.39919489,0.043652434,9.724906335,0.002644179,0.049203324
18.97344953,0.160450858,19.00052184,0.999321365,0.070728452
10.31733676,0.349270894,22.70337675,0.016993769,0.033263991
19.34600124,0.146991655,58.6286039,0.29640119,0.035530106
16.00155207,0.187906585,16.40193253,0.001093322,0.027588575
19.45095161,0.329471364,13.98435219,0.038101512,0.065977053
19.34907789,0.042323285,41.25133627,0.943156493,0.05813611
13.13375042,0.237769693,55.1517515,0.292555873,0.044342533
11.82674886,0.251703671,35.27163586,0.357646111,0.058882093
14.99802017,0.128346365,29.24395355,0.970038793,0.073972535
18.9974352,0.341142731,18.2864027,0.723475962,0.047151022
14.35268466,0.347794288,37.74694412,0.816426516,0.051063726
13.15009945,0.299102357,45.54760641,0.834998437,0.047887973
13.1846209,0.094488346,42.71749814,0.412679082,0.050468334
19.65746159,0.261662071,35.66609833,0.379531732,0.06946069
17.07576499,0.293786231,47.21668537,0.055995448,0.075154015
11.93014463,0.110915254,40.58664332,0.92687558,0.047659222
13.79686584,0.119474002,40.9355518,0.377273198,0.046721481
16.55972859,0.291342418,35.2437147,0.878351314,0.030329147
14.0011722,0.344858739,33.84864679,0.573940369,0.045975371
10.06292347,0.293726288,38.7318236,0.00331084,0.045645335
17.86562017,0.21848344,16.46605874,0.075185619,0.056354183
19.26604392,0.03696215,10.23897964,0.99799574,0.04056647
19.55652211,0.256583389,41.66182383,0.239767477,0.047474247
14.34060718,0.288993563,17.91284221,0.017170314,0.072086887
14.35513081,0.238255375,23.63100562,0.9691029,0.043555747
10.93284372,0.315260545,13.85065473,0.004655978,0.072786267
12.86752754,0.312908332,57.85902835,0.811453057,0.065861869
10.2541863,0.242078245,30.04729907,0.306983097,0.053151545
10.92391206,0.283473273,48.91400079,0.515781244,0.039703438
17.87648602,0.066445143,35.28829389,0.338963615,0.07234783
17.12022216,0.288640403,58.65675585,0.05479122,0.059319624
12.58746285,0.197141877,45.33045631,0.794022907,0.043837774
12.08896785,0.295425189,49.34348114,0.673095623,0.066058415
15.15748489,0.219249082,28.10075153,0.37185367,0.037518618
12.49518985,0.257248013,49.925133,0.640126061,0.071969734
14.57307637,0.140018012,20.12921807,0.942129185,0.068345793
17.52185129,0.115813263,30.24600952,0.462234873,0.071291421
16.39676676,0.214101827,27.69768525,0.000732536,0.049066694
11.94599695,0.314151687,59.6904328,0.941908544,0.071616438
10.49821256,0.328490848,48.01507491,0.000183601,0.028249708
14.58355955,0.303822426,35.81542004,0.209791564,0.054054034
15.97627143,0.125760493,19.43024059,0.04956468,0.067656776
16.28603614,0.214072979,32.54985099,0.002403688,0.05218312
17.79054378,0.209423622,24.94919342,0.013568423,0.063373062
19.67160134,0.291057989,44.47342316,0.941806127,0.049905046
19.94279299,0.155762194,56.06233765,0.355479224,0.072504079
13.51548084,0.088966246,54.43227915,0.034902824,0.068045817
14.68908639,0.273380235,40.8589578,0.874506116,0.03700138
13.01568204,0.237308842,22.59555593,0.336360221,0.040091215
18.27123323,0.061342521,45.72342602,0.876340472,0.053235206
10.43655187,0.125941979,8.8751584,0.999242478,0.055457068
18.34994111,0.016294452,34.56880844,0.998557822,0.074389526
15.40108856,0.34515647,41.34668761,0.295636707,0.042853131
16.02088413,0.060667026,7.139396455,0.603788723,0.053228151
10.25608479,0.218165857,24.59208037,0.536567003,0.073408616
17.35783943,0.090232123,18.02055869,0.999258369,0.073332621
19.71560024,0.258224474,29.95112561,0.95860097,0.069646583
14.05346461,0.214611622,51.87503415,0.067666481,0.066265022
12.28578433,0.348858824,15.26432651,0.99113121,0.034014118
17.06139215,0.144211772,57.32902455,0.818246228,0.039760865
11.941402,0.112119528,53.75620665,0.993359385,0.03775996
15.01510923,0.012349554,32.98776081,0.870545504,0.062038982
16.0666755,0.03530269,47.76360787,0.049915678,0.060393232
19.17347397,0.221659905,40.20407672,0.011433077,0.077250394
11.95496654,0.145754018,49.5317087,0.001246173,0.069992756
17.06667906,0.19118637,15.35258612,0.252170853,0.046822412
